subject,predicate,object
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2528
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2510
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2519
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2537
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2505
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2502
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2526
reactome:Pathway1095,abstraction:HasComponent,reactome:Pathway1099
reactome:Pathway1095,abstraction:HasComponent,reactome:Pathway1097
reactome:Pathway1095,abstraction:HasComponent,reactome:Pathway1100
reactome:Pathway1095,abstraction:HasComponent,reactome:Pathway1096
reactome:Pathway1095,abstraction:HasComponent,reactome:Pathway1098
reactome:Pathway1768,abstraction:HasComponent,reactome:Pathway1769
reactome:Pathway1768,abstraction:HasComponent,reactome:Pathway1772
reactome:Pathway1768,abstraction:HasComponent,reactome:Pathway1771
reactome:Pathway1768,abstraction:HasComponent,reactome:Pathway1770
reactome:Pathway1340,abstraction:HasComponent,reactome:Pathway1341
reactome:Pathway918,abstraction:HasComponent,reactome:Pathway919
reactome:Pathway918,abstraction:HasComponent,reactome:Pathway962
reactome:Pathway918,abstraction:HasComponent,reactome:Pathway952
reactome:Pathway918,abstraction:HasComponent,reactome:Pathway934
reactome:Pathway2024,abstraction:HasComponent,reactome:Pathway2025
reactome:Pathway2024,abstraction:HasComponent,reactome:Pathway2026
reactome:Pathway1372,abstraction:HasComponent,reactome:Pathway1373
reactome:Pathway1372,abstraction:HasComponent,reactome:Pathway1378
reactome:Pathway2056,abstraction:HasComponent,reactome:Pathway2059
reactome:Pathway2056,abstraction:HasComponent,reactome:Pathway2058
reactome:Pathway2056,abstraction:HasComponent,reactome:Pathway2060
reactome:Pathway2056,abstraction:HasComponent,reactome:Pathway2057
reactome:Pathway2729,abstraction:HasComponent,reactome:Pathway2730
reactome:Pathway2301,abstraction:HasComponent,reactome:Pathway2302
